北京,街道（镇/乡）,社区卫生服务中心（站）,办公地址,办公电话
,新村街道,新村社区卫生服务中心,北京市丰台区首经贸北路8号院4号楼,63621236
,长辛店街道,长辛店社区卫生服务中心,北京市丰台区长辛店大街甲262号,83882827
,长辛店镇,长辛店镇社区卫生服务中心,北京市丰台区长辛店镇射击场路23号,83861652
,王佐镇,王佐镇社区卫生服务中心,北京市丰台区王佐镇西王佐356号,83316357
,东铁匠营街道,铁营社区卫生服务中心,北京市丰台区横一条甲18号院3号楼,67688332
,西罗园街道,西罗园社区卫生服务中心,北京市丰台区西罗园一区26号楼,67219781
,南苑街道,南苑社区卫生服务中心,北京市丰台区和义东里二区6号,67966719
,马家堡街道,马家堡社区卫生服务中心,北京市丰台区马家堡嘉园二里14号,67534558
,长辛店镇,二七南社区卫生服务中心,北京市丰台区长辛店崔村二里18号,83306531
,长辛店镇,二七北社区卫生服务中心,北京市丰台区长辛店镇张郭庄南路甲一号,83804470
,云岗街道,云岗社区卫生服务中心,北京市丰台区云岗南区20楼,68374253
,太平桥街道,太平桥社区卫生服务中心,北京市丰台区太平桥西里甲1号,63501188
,东高地街道,东高地社区卫生服务中心,北京市丰台区花乡纪家庙168号,63726782
,卢沟桥乡,卢沟桥乡社区卫生服务中心,北京市丰台区西局南街137号8号楼,63845387
,和义街道,丰台区和义街道和义西里社区卫生服务站,北京市丰台区大红门南路58号,67979210
,花乡乡,花乡社区卫生服务中心,北京市丰台区花乡纪家庙168号,63726782
,南苑乡 ,南苑社区卫生服务中心,北京市丰台区和义东里二区6号,67966719
,马家堡街道,同仁京苑社区卫生服务中心,北京市丰台区马家堡东路88号,51215069
,其他,蒲黄榆社区卫生服务中心,北京市丰台区蒲安西里16号,67616028
,其他,朱家坟社区卫生服务中心,北京市丰台区朱家坟四里13号,83807069
石景山区,八角街道,八角社区卫生服务中心,北京市石景山区八角北路,68862920
,五里坨街道，以及鲁谷社区行政事务管理中心。,五里坨社区卫生服务中心,北京市石景山区石门路322号,51510589
,八宝山街道,八宝山社区卫生服务中心,北京市石景山区鲁谷东街38号,010-88655151
,苹果园街道,苹果园社区卫生服务中心,北京市石景山区苹果园大街86号,88707858
,金顶街街道,金顶街社区卫生服务中心,北京市石景山区金顶北路22号院1号楼,88778785 
,老山街道,老山社区卫生服务中心,北京市石景山区老山西里,88296529
,古城街道,古城社区卫生服务中心,北京市石景山区古城小街,88296532
,广宁街道,广宁社区卫生服务中心,北京市石景山区广宁街道原广宁中学院内,88990400
,其他,鲁谷社区卫生服务中心,北京市石景山鲁谷小区六合园,010-51718219
,其他,北方工大社区卫生服务中心,北京市石景山区晋元庄路5号,88803257
平谷区,马坊镇,马坊社区卫生服务中心,北京市平谷区马坊镇西大街32号,60999071
,高村镇,东高村社区卫生服务中心,北京市平谷区东高村镇兴业路32号,69908547
,峪口镇,峪口社区卫生服务中心,北京市平谷区峪口镇峪新大街1号,61904757
,大华山镇,大华山社区卫生服务中心,北京市平谷区大华山镇大华山村村西257号,61947273
,马昌营镇,马昌营社区卫生服务中心,北京市平谷区马昌营镇马昌营村北,61982797
,平谷镇,平谷镇社区卫生服务中心,北京市平谷区平谷镇新平南路207号,69961013
,金海湖镇,金海湖社区卫生服务中心,北京市平谷区金海湖镇滑子村,69994772
,夏各庄镇,夏各庄社区卫生服务中心,北京市平谷区夏各庄镇夏各庄村西,60911618
,南独乐河镇,南独乐河社区卫生服务中心,北京市平谷区南独乐河镇粮管所路169号,60927224
,大兴庄镇,大兴庄社区卫生服务中心,北京市平谷区大兴庄镇大兴庄村东路270号,89931395
,镇罗营镇,镇罗营社区卫生服务中心,北京市平谷区镇罗营镇上营村西158号,61969034
,黄松峪乡,黄松峪社区卫生服务中心,北京市平谷区黄松峪乡黄松峪村东大街384号,60972859
,熊耳寨乡,熊尔寨社区卫生服务中心,北京市平谷区熊耳寨乡熊东路34号,61961882
,山东庄镇,山东庄社区卫生服务中心,北京市平谷区山东庄镇府前路7号,60937614
,刘家店镇,刘家店社区卫生服务中心,北京市平谷区刘家店镇刘家店西路18号,61971055
,王辛庄镇,王辛庄社区卫生服务中心,北京市平谷区王辛庄镇乐园路31号,61921482
,王辛庄镇,兴谷街道社区卫生服务中心,北京市平谷区王辛庄镇校园路3号,89983646
,滨河街道,北京市平谷区滨河街道社区卫生服务中心,北京市平谷区滨河街道林荫南街6号,69961913
,东高村镇,北京市平谷区东高村社区卫生服务中心,北京市平谷区东高村镇兴业路32号,69908547
,林荫南街,滨河街道社区卫生服务中心,北京市平谷区林荫南街6号,69961913
延庆县,永宁镇,永宁社区卫生服务中心,北京市延庆县永宁镇东街路北,60171487
,张山营镇,张山营社区卫生服务中心,北京市延庆县张山营镇张山营村,69111163
,千家店镇,千家店社区卫生服务中心,北京市延庆县千家店镇千家店村,010-60188440
,四海镇,四海镇社区卫生服务中心,北京市延庆县四海镇四海村,60187205
,康庄镇,康庄镇社区卫生服务中心,北京市延庆县康庄镇文汇街2号,61161313
,旧县镇,旧县社区卫服务中心,北京市延庆县旧县镇旧县村西,61151602
,沈家营镇,沈家营社区卫生服务中心,北京市延庆县沈家营镇沈家营村西,61132245
,井庄镇,井庄社区卫生服务中心,北京市延庆区井庄镇井庄村,61191705
,八达岭镇,八达岭社区卫生服务中心,北京市延庆县八达岭镇西拨子村,69120365
,大榆树镇,大榆树社区卫生服务中心,北京市延庆县大榆树镇大榆树村6号,61182983
,刘斌堡乡,刘斌堡社区卫生服务中心,北京市延庆区刘斌堡乡刘斌堡村东,010-60181714
,香营乡,香营社区卫生服务中心,北京市延庆县香营乡香营村西,60162454
,延庆镇,延庆镇社区卫生服务中心,北京市延庆县南菜园公安医院西侧,69172966
,大庄科乡,大庄科社区卫生服务中心,北京市延庆县大庄科乡大庄科村,60189817
,妫水南街,南菜园社区卫生服务中心,北京市延庆县妫水南街0号,69181772
,香营乡,香营乡香营村卫生室,北京市延庆县香营乡香营村中心公路边,
密云县,鼓楼街道,鼓楼社区卫生服务中心,北京市密云县鼓楼东大街6号,69044334
,果园街道,果园社区卫生服务中心,北京市密云县果园街道西门外,69044606
,西田各庄镇,西田各庄镇社区卫生服务中心,北京市密云县西田各庄镇西田各庄村,61015254
,十里堡镇,十里堡镇社区卫生服务中心,北京市密云县十里堡镇河槽村西200米,010-89023297
,河南寨镇,河南寨镇社区卫生服务中心,北京市密云县河南寨镇芦古庄村北,61087288
,巨各庄镇,巨各庄镇社区卫生服务中心,北京市密云县巨各庄镇水峪村,61033001
,东邵渠镇,东邵渠镇社区卫生服务中心,北京市密云县东邵渠镇高各庄村,61061321
,大城子镇,大城子镇社区卫生服务中心,北京市密云县大城子镇大城子村,61071761
,穆家峪镇,穆家峪镇社区卫生服务中心,北京市密云县穆家峪镇南穆家峪村,61053836
,太师屯镇,太师屯镇社区卫生服务中心,北京市密云县太师屯镇,69032541
,北庄镇,北庄镇社区卫生服务中心,北京市密云县北庄镇北庄村,81002006
,新城子镇,新城子镇社区卫生服务中心,北京市密云县新城子镇新城子村,81023799
,古北口镇,古北口镇社区卫生服务中心,北京市密云县古北口镇河东村,81051007
,高岭镇,高岭镇社区卫生服务中心,北京市密云区高岭镇高岭村政府路9号,81081157
,不老屯镇,不老屯镇社区卫生服务中心,北京市密云县不老屯镇不老屯村,81091893
,冯家峪镇,冯家峪镇社区卫生服务中心,北京市密云县冯家峪镇冯家峪村99号,81069963
,石城镇,石城镇社区卫生服务中心,北京市密云县石城镇南石城村,61025192
,溪翁庄镇,溪翁庄镇社区卫生服务中心,北京市密云县溪翁庄镇溪翁庄村,69012577
,密云镇,密云镇社区卫生服务中心,北京市密云县密云镇李各庄村委会南,010-69080456
东城区,东华门街道,东华门社区卫生服务站(中心站),北京市东城区瓷器库南巷1号,65597833
,安定门街道,安定门社区卫生服务站(中心站),北京市东城区豆腐池胡同13号,64007169
,北新桥街道,北新桥社区卫生服务站(中心站),北京市东城区东直门大街184号,64053216
,东四街道,东四社区卫生服务站（中心站）,北京市东城区东四六条62号,64017470
,东直门街道,东直门社区卫生服务站（中心站）,北京市东城区东直门外察慈小区7号楼,64610470
,和平里街道,和平里社区卫生服务站（中心站）,北京市东城区和平里北街18号西门,64215168
,东四南大街,东城区朝阳门社区卫生服务中心,北京市东城区东四南大街灯草胡同31号,65138019
,建国门街道,东城区建国门社区卫生服务中心,北京市东城区市桥街西城路西兴苑12栋东梯2-3楼,34605032
,东花市街道,东城区东花市社区卫生服务中心,北京市东城区广渠家园13号楼,
,天坛街道,天坛社区卫生服务中心,北京市东城区粉厂胡同57号,67074337
,体育馆路街道,体育馆路社区卫生服务中心,北京市东城区法华南里25号楼西门,67120019
,景山街道,景山街道宽街社区卫生服务站,北京市东城区美术馆后街12号,64006540
,景山街道,景山街道魏家社区卫生服务站,北京市东城区魏家胡同53号,84032330
,交道口街道,交道口街道交东社区卫生服务站,北京市东城区土儿胡同10号楼,84046916
,朝阳门街道,朝阳门街道朝内头条社区卫生服务站,北京市东城区朝内大街203号,64015610
,建国门街道,建国门街道外交部街社区卫生服务站,北京市东城区东堂子胡同24号,65121974
,其他,忠实里社区卫生服务中心,北京市东城区忠实里西区7号楼106,87749048
,其他,龙潭社区卫生服务中心,北京市崇文区光明中街25号,67111096
西城区,西长安街街道,西长安街社区卫生服务中心,北京市西城区油坊胡同52号,66018511
,新街口街道,新街口社区卫生服务中心,北京市西城区后半壁街19号,66250400
,月坛街道,月坛社区卫生服务中心,北京市西城区复兴门外真武庙六里7号楼,68032035
,展览路街道,展览路社区卫生服务中心,北京市西城区阜成门外北大街201号,68352553
,德胜街道,德胜社区卫生服务中心,北京市西城区德外大街34号,62012633
,金融街街道,金融街社区卫生服务中心,北京市西城区阜成门内大街306号,66030336
,什刹海街道,什刹海社区卫生服务中心,北京市西城区正觉胡同甲13号,83285658
,陶然亭街道,陶然亭社区卫生服务中心,北京市西城区陶然亭路12号,63534679
,椿树街道,椿树社区卫生服务中心,北京市西城区西琉璃厂63号,010-63035473
,牛街街道,牛街社区卫生服务中心,北京市西城区培育胡同15号,010-83539819
,广安门内街道,广内社区卫生服务中心,北京市西城区校场五条49号,63037725 
,白纸坊街道,白纸坊社区卫生服务中心,北京市西城区新安中里4号,63522376
,广安门外街道,广外社区卫生服务中心,北京市西城区广外三义里甲2号,63269062
,天桥街道,天桥社区卫生服务中心,北京市西城区万明路甲8号,010-63153498
,大栅栏街道,大栅栏社区卫生服务中心,北京市西城区煤市街152,63033727
门头沟区,大峪街道,门城地区社区卫生服务中心,北京市门头沟区峪园小区甲六号,69842268
,城子街道,门城地区社区卫生服务中心,北京市门头沟区峪园小区甲六号,69842269
,龙泉镇,门城地区社区卫生服务中心,北京市门头沟区峪园小区甲六号,69842270
,潭柘寺镇,潭柘寺镇社区卫生服务中心,北京市门头沟区潭柘寺镇鲁家滩大街64号,60861550
,永定镇,永定镇社区卫生服务中心（永定镇卫生院）,北京市门头沟区石门营B1-7号楼,69804370
,军庄镇,军庄镇社区卫生服务中心,北京市门头沟区军庄镇政府东侧（军庄镇卫生院）,60811931
,妙峰山镇,妙峰山镇社区卫生服务中心（妙峰山镇卫生院）,北京市门头沟区妙峰山镇陇驾庄村,61881686
,王平地区,王平镇社区卫生服务中心（色树坟中心卫生院）,北京市门头沟区王平镇色树坟大街10号,61859443
,雁翅镇,雁翅镇社区卫生服务中心（雁翅中心卫生院）,北京市门头沟区雁翅镇雁翅村,61830208
,斋堂镇,斋堂镇社区卫生服务中心（斋堂医院）,北京市门头沟区斋堂镇东斋堂村33号,15611523043
,清水镇,清水镇社区卫生服务中心（清水中心卫生院）,北京市门头沟区清水镇上清水村、清水镇黄塔村、清水镇齐家庄村,60855119
,东辛房街道,东辛房社区卫生服务中心（京煤总医院门矿医院）,北京市门头沟区门头沟路47号,61815049
,大台街道,大台社区卫生服务中心（京煤总医院大台医院）,北京市门头沟区大台北大地9号,61870100
房山区,良乡镇,良乡地区社区卫生服务中心,北京市房山区良乡苏庄大街,89370240
,城关街道,城关街道社区卫生服务中心,北京市房山区城关北大街16号,89336063
,东风街道,燕化东风街道社区卫生服务中心,北京市房山区东风北里31号,69334338
,,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,迎风街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,星城街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,向阳街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,河北镇,河北镇社区卫生服务中心,北京市房山区河北镇李各庄村,60377217
,阎村镇,阎村镇社区卫生服务中心,北京市房山区阎村镇紫园南路28号,01089317688
,张坊镇,张坊社区卫生服务中心,北京市房山区张坊镇张坊村,010-61331366
,长沟镇,长沟社区卫生服务中心,北京市房山区长沟大街15号,01061361364
,周口店镇,周口店镇社区卫生服务中心,北京市房山区周口店大街28号,69305088
,长阳镇,长阳镇社区卫生服务中心,北京市房山区长阳镇政府西侧长阳镇卫生院,80351615
,佛子庄乡,佛子庄社区卫生服务中心,北京市房山区佛子庄乡黑龙关村,60365950
,南窖乡,南窖乡社区卫生服务中心,北京市房山区南窖乡南窖村,60375388
,史家营乡,史家营乡社区卫生服务中心,北京房山区史家营乡北涧村,60397794
,霞云岭乡,霞云岭社区卫生服务中心,北京市房山区霞云岭乡,010-60367349
,大安山乡,大安山乡社区卫生服务中心,北京市房山区大安山乡大安山村,60373799
,石楼镇,石楼社区卫生服务中心,北京市房山区石楼镇石楼大街3号,89300294
,琉璃河镇,琉璃河镇社区卫生服务中心,北京市房山区琉璃河镇中原大街25号,61393399
,青龙湖镇,青龙湖镇社区卫生服务中心,北京市房山区青龙湖镇豆各庄村, 010-60321345
,十渡镇,十渡镇社区卫生服务中心,北京市房山区十渡镇八渡村十渡镇社区卫生服务中心,61340834
,蒲洼乡,蒲洼乡社区卫生服务中心,北京市房山区蒲洼乡蒲洼村,010-61371643
,大石窝镇,大石窝镇社区卫生服务中心,北京市房山区大石窝镇石窝村, 010-61385258
,韩村河镇,韩村河镇社区卫生服务中心,北京市房山区韩村河镇韩村河村;北京市房山区韩村河镇岳各庄村,80380563
,窦店镇,窦店镇社区卫生服务中心,北京市房山区窦店镇窦店村2区77号；北京市房山区窦店镇交道二街四区3号,69396889
,拱辰街道,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
,西潞街道,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
,新镇街道,新镇原新中路社区卫生服务站,北京市房山区新镇原新中路,69358238
,良乡地区,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
通州区,新华街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,永顺地区,永顺社区卫生服务中心,北京市通州区永顺地区龙旺庄36号楼,89596885
,梨园地区,梨园社区卫生服务中心,北京市通州区葛布店南里10、11号楼；通州区群芳园路口往东200米（梨园敬老院底商）；,81553000
,潞城镇,潞城社区卫生服务中心,北京市通州区潞城镇胡各庄,89584074
,潞城镇,甘棠社区卫生服务中心,北京市通州区潞城镇侉店村,61521017
,宋庄镇,宋庄社区卫生服务中心,北京市通州区宋庄镇前夏村,69594606
,宋庄镇,徐辛庄社区卫生服务中心,北京市通州区宋庄镇徐辛庄村,89567154
,中仓街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,北苑街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,玉桥街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,台湖镇,台湖社区卫生服务中心,北京市通州区台湖镇台湖村东口路北, 010-61531720
,台湖镇,次渠社区卫生服务中心,北京市通州区台湖镇次渠村,69544987
,张家湾镇,张家湾社区卫生服务中心,北京市通州区张家湾镇张家湾村东区甲2号,61503694
,张家湾镇,牛堡屯社区卫生服务中心,北京市通州区张家湾镇牛堡屯后坨村186号,69581337
,马驹桥镇,马驹桥社区卫生服务中心,北京市通州区马驹桥镇兴华大街11号,59012825
,马驹桥镇,大杜社社区卫生服务中心,北京市通州区马驹桥镇大杜社村北,61583000
,漷县镇,漷县社区卫生服务中心,北京市通州区漷县镇漷兴一街,80586031
,漷县镇,觅子店社区卫生服务中心,北京市通州区漷县镇觅子店村村北,80566218
,西集镇,西集社区卫生服务中心,北京市通州区西集镇南,010-61576285
,西集镇,郎府社区卫生服务中心,北京市通州区西集镇郎东村后/北京市通州区西集镇郎府敬老院内,61559055
,永乐店镇,永乐店社区卫生服务中心,北京市通州区永乐店镇永乐大街20号, 010-69568653
,于家务回族乡,于家务社区卫生服务中心,北京市通州区于家务回族乡于家务村, 010-80534409
顺义区,北石槽镇,北石槽社区卫生服务中心,北京市顺义区北石槽镇府前街12号,60422508
,北务镇,北务社区卫生服务中心,北京市顺义区北务镇政府东侧100米,61421715
,赵全营镇,赵全营社区卫生服务中心,北京市顺义区赵全营镇中板路119号,60431136
,北小营镇,北小营社区卫生服务中心,北京市顺义区北小营镇府前街2号,60483645
,南彩镇,南彩社区卫生服务中心,北京市顺义区南彩镇顺平路南彩段３号,89469280
,南彩镇,洼里社区卫生服务站,北京市顺义区南彩镇洼里村,89461839
,赵全营镇,板桥社区卫生服务中心,北京市顺义区赵全营镇板桥村牛板路23号,60442196
,大孙各庄镇,大孙各庄社区卫生服务中心,北京市顺义区大孙各庄镇府前东街4号,01061432044
,天竺地区,天竺社区卫生服务中心,北京市顺义区天竺镇府前一街27号,01064566232
,牛栏山地区,牛栏山社区卫生服务中心（三院）,北京市顺义区牛栏山镇府前街13号,52135333
,杨镇地区,杨镇社区卫生服务中心（二院）,北京市顺义区杨镇环镇东路2号（注：杨镇小学后面）,61451265
,张镇,张镇社区卫生服务中心,北京市顺义区张镇大街5号,61480647
,李遂镇,李遂社区卫生服务中心,北京市顺义区李遂镇府前街东侧,89481582
,南彩镇,俸伯社区卫生服务中心,北京市顺义区南彩镇后俸伯村东,89477261
,木林镇,木林社区卫生服务中心,北京市顺义区木林镇顺焦路81号,60457195
,后沙峪地区,后沙峪社区卫生服务中心（空港）,北京市顺义区后沙峪地区双裕街49号,80496772
,仁和地区,仁和社区卫生服务中心,北京市顺义区石园南区东侧,89446896
,高丽营镇,张喜庄社区卫生服务中心,北京市顺义区高丽营镇张喜庄村南,010-69491442
,胜利街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,光明街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,旺泉街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,石园街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,龙湾屯镇,龙湾屯社区卫生服务中心,北京市顺义区龙湾屯镇府前街17号,60462200
,李桥镇,李桥社区卫生服务中心,北京市顺义区李桥镇任李路沿河段154号,69485961
,杨镇地区,沙岭社区卫生服务中心,北京市顺平路沙岭段57号,61444966
,,小店社区卫生服务中心,北京市顺义区杨镇小店村,61412835
,高丽营镇,高丽营社区卫生服务中心,北京市顺义区高丽营镇高泗路四村段9号,69455946
,南法信地区,南法信社区卫生服务中心,北京市顺义区南法信镇顺于路9号,69478565
,马坡地区,马坡社区卫生服务中心,北京市顺义区马坡镇马坡花园东侧,69404194
昌平区,马池口地区,马池口社区卫生服务中心,北小营村马池口社区卫生院临806号,60756310
,南邵镇,南邵社区卫生服务中心,北京市昌平区南邵镇南邵村,60735776
,沙河地区,沙河社区卫生服务中心,北京市昌平区沙河镇展思门路5号,80707369
,十三陵镇,十三陵社区卫生服务中心,北京市昌平区十三陵镇胡庄村,89761433
,小汤山镇,小汤山社区卫生服务中心,北京市昌平区小汤山镇小汤山村村南,010-61781542
,兴寿镇,兴寿社区卫生服务中心,北京市昌平区兴寿镇兴寿村西,61726071
,阳坊镇,阳坊社区卫生服务中心,北京市昌平区阳坊镇阳坊村中心北街13号,69762823
,城北街道,城区社区卫生服务中心,北京市昌平区城北街道南环里53号,69706816
,南口地区,南口社区卫生服务中心,北京市昌平区南口镇兴隆街3号,51642228
,百善镇,百善社区卫生服务中心,北京市昌平区百善镇百善村西,61739134
,北七家镇,北七家社区卫生服务中心,北京市昌平区北七家镇定泗路北侧,69756429
,崔村镇,崔村社区卫生服务中心,北京市昌平区崔村镇政府街,60721380
,东小口地区,东小口社区卫生服务中心,北京市昌平区东小口镇陈营村北,84847221
,城南街道,城区社区卫生服务中心,北京市昌平区城北街道南环里53号,69706816
,回龙观地区,回龙观社区卫生服务中心,北京市昌平区回龙观派出所东100米,82950224
,流村镇,流村社区卫生服务中心,北京市昌平区流村镇北流村北,89778043
大兴区,安定镇,安定社区卫生服务中心,北京市大兴区安定镇善台子村,80232120
,北臧村镇,北臧村社区卫生服务中心,北京市大兴区北臧村镇北兴路9号,60276179
,采育镇,采育社区卫生服务中心,北京市大兴区采育镇东二营村,80275012
,长子营镇,长子营社区卫生服务中心,北京市大兴区长子营镇上长子村,80265046
,黄村地区（黄村镇）,黄村社区卫生服务中心,北京市大兴区黄村镇狼垡二村,69244148
,西红门地区（西红门镇）,金星社区卫生服务中心,北京市大兴区西红门镇团河路金荣园小区东里,61288262
,旧宫地区（旧宫镇）,旧宫社区卫生服务中心,北京市大兴区旧宫镇庑殿路32号,87972870
,礼贤镇,礼贤社区卫生服务中心,北京市大兴区礼贤镇西,89271505
,庞各庄镇,庞各庄社区卫生服务中心,北京市大兴区庞各庄镇繁荣村,89287912
,黄村地区（黄村镇）,孙村社区卫生服务中心,北京市大兴区黄村镇孙村组团横三路西侧,61267297
,魏善庄镇,魏善庄社区卫生服务中心,北京市大兴区魏善庄镇魏善庄村北,89201952
,西红门地区（西红门镇）,西红门社区卫生服务中心,北京市大兴区西红门镇欣荣北大街28号,60255344
,兴丰街道,兴丰街道社区卫生服务中心,北京市大兴区黄村镇富强路20号,69253643
,亦庄地区（亦庄镇）,亦庄社区卫生服务中心,北京市大兴区广德北巷6号,67870497
,瀛海镇,瀛海社区卫生服务中心,北京市大兴区瀛海镇政府对面,69271800
,榆垡镇,榆垡社区卫生服务中心,北京市大兴区榆垡镇榆垡路9号,89213168
,林校路街道,林校路社区卫生服务中心,北京市黄村西大街26号,60283295
